Review,Score
Saya merasa sangat kesal ketika sedang bermain dan tidak sengaja terkeluarkan dari aplikasi dan ketika sudah masuk kembali aplikasinya tereset dan ketika mencoba masuk ke game nya TERLALU LAMA sehingga ketika saya akhirnya masuk kedalam game ternyata sudah KALAH dan saya diberi logo AFK setelah game. Apakah ini memang di sengaja atau tidak. Kalau tidak mohon DIPERHATIKAN dan DIPERBAIKI!,5
"Aplikasi macam apa ini,sinyal tidak stabil padahal ping WiFi bagus,saya buka apk lain tidak ada tuh hambatan masalah jaringan,lah ini baru masuk mid game ketika war sinyal merah kuning mulu,tolonglah untuk developer PERBAIKI MASALAH BUG!!,saya sebagai pengguna android sangat resah dengan masalah tersebut,tolong PERHATIKAN DAN PERBAIKI!!",5
"""Sebenernya Mobile Legends tuh game-nya seru banget. Hero-nya banyak, skin-nya keren, dan gameplay-nya juga asyik. Tapi sayang banget, sering banget kena lag padahal sinyal lancar di aplikasi lain. Ping bisa tiba-tiba merah waktu war, terus jadi beban tim 😔 Udah coba pakai WiFi dan jaringan seluler, tetap aja kadang ngelag. Padahal HP udah spek oke. Semoga ke depannya Moonton bisa optimalkan server-nya atau tambahin fitur penguat jaringan kayak beberapa game lain.""note beat 👍🏼",5
"Haloo min MLBB, sebelumnya mau kasih ulasan kalo gamenya udah cukup bagus seiring dari waktu ke waktu, mulai dari grafik, gameplay, event, dll dan mauu kasih masukan kalo untuk matchmaking ketika main solo mungkin lebih di seimbangin lagi karna terkadang main di high tier masih suka ketemu sama low tier yang notabene nya bener² baru main mlbb jadi menurutku ini jadi kurang balance. Selebihnya udah bagus dan semoga di next update bisa lebih improve lagi untuk MLBB, terima kasih!",5
game nya memang bagus event nya juga menarik tetapi sayang untuk mech making nya itu kurang dan para pleyer yang memiliki skil rendah tidak di seleksi terlebih dahulu sehingga saat bermain tidak seimbang dengan tim musuh tolong kepada pihak moonton untuk menyeleksi para player minim skill,5
"mohon dimudahkan dalam permainan agar mudah mencapai rank tertinggi nya, dan juga pemilihan lane terkadang tidak seimbang dalam sebuah tim juga kekeliruan pihak moonton dalam sistem nya, alhasil player player solo dimana pun termasuk saya susah mendapatkan kemenangan karna match yg tidak seimbang, tolong sistem nya lebih di perbaiki lagi agar tidak menjadi game yg membuat stres juga membosankan, terimakasih...",5
"Saya ingin menyampaikan saran terkait fitur hadiah pada Kolektor Juragan V. Saat ini, hadiah tambahan berupa efek loading sudah cukup menarik, namun akan lebih baik jika ditambahkan juga warna nama eksklusif untuk pemain yang telah mencapai level tersebut. Dengan menambahkan fitur ganda seperti pada level Sultan — yakni efek loading dan warna nama — tentunya akan memberikan kesan eksklusif yang sepadan dengan pencapaian pemain di level Kolektor Juragan V. Semoga saran ini bermanfaat. Thankss..",5
"saat udh menang 3x dikasih dari system, punya tim acak-acakan apalagi di match pake hero juga asal-asalan sedangkan tim lawan jago² banget, hadeh, coba tim sendiri sama tim lawan seimbang pasti lebih seru gamenya padahal udh rank sampe mythic main nya setara pemain epic aja, kagak wajar banget asli dah,tpi sisi bagus selalu dikasih event gratis dan suka dapat hero gratis gw kasih bintang 4 dah tuh ntar kalo diperbaiki lagi langsung 5",4
"""MOONTON TOLONG PERBAIKI MLBB"" dari kemarin saya login dan ingin melakukan matching mode rank tatapi saya gagal masuk ke pertandingan padahal sinyal bagus sistem mendeteksi jaringan error padahal wifi kuat, ganti kedata seluler juga gak bisa tolong perbaiki secepatnya.",5
"game nya bagus,tapi tolong lah monton jaringan nya itu di perbaikin lagi,masa tiap war langsung lag parah gak bisa ngapa ngapain,tapi pas udah mati jaringan nya bagus,siapa yg gak kesel coba,buat kedepan nya tolong lah di perbaikin jaringan nya,biar pada betah main game ini,itu aja sih,tapi game nya bagus,minus nya cuma di bug jaringan nya doang",5
"Gamenya sudah bagus. Grafiknya epic sama pilihan Heronya banyak, top up murah, bisa dapet skin gratis. Tapi tolong, buat ngunduh datanya jangan memakan banyak tempat penyimpanan biar hp juga gak lemot, sama buat loading jangan terlalu lama buat yang baru download karena takut memakan data penyimpan. Sama kalo ada event, kalo mau draw/spin diusahain sekali² jangan pake diamond terus kasihan yang belum boleh top up. Sama kalo mau dapet token gratis jangan cuma buat keuntungan topup udah segitu tok",4
"game ini sangat menarik dan menantang saya main 2 Minggu berturut turut cuman nambah 1⭐,tpi sebab itulah mental dan kesabaran saya di uji mantap developer ,klo bisa perbanyak dark sistem nya agar lebih menantang game nya terimakasih!!",5
geme nya seru bisa mabar sama teman dan bisa di main kan secara offline tapi di mode offline ini tidak bisa mabar dan musuhnya bisa di atur ke tingkat nya sulit maupun mudah saat bermain di mode online dan pas udah masuk ke satu map dan tim kita rata rata Deraksistem tapi tim yang seperti ini Hadijupai di peringkat epic dan legend jadi tolong mohon di kurangin tim yang suka etroll bisa bisa emosi jadi kurang in😊,5
"sebelum nya mohon maaf ni tapi saya sarankan ya kalo mau, ngasih musuh itu sesuai kan ama skil pemain karna kadang² saya kalo main,itu saya dapat musuh nya party atau yg lebih jago dari kemampuan rata-rata itu aja dari saya sekian mohon di mengerti ok(:",4
"game sangat bagus, dari segi apa pun sangat baik,, tapi ada beberapa yang harus diperhatikan saat main random selalu dapat rekan yang gak baik dalam bermain, sering bugk dan sering susah mau ngarahkan pegerakan heronya,, padahal jaringan bagus",5
"untuk game nya masih ada sedikit bug yang harus di perbaiki lagi, grafik nya udah oke bisa di atur untuk grafik rendah sedang dan tinggi,ini sangat berguna untuk yang hp nya rada ngelek ngelek dan,Hero nya ada banyak banget skin nya juga banyak gameplay nya juga gampang,tapi tolong di dikitin dark sistem moonton kalo bisa kasih saya tim yang jago ya moonton,capek saya lose treak Mulu masa mentok mentok glory,saya kan juga mau Immortal. Tolong yah Moonton di kurangin dark sistem udah segitu ajah",5
"Makin banyak main bukannya makin lebih baik, tapi makin banyak dikasih player yang gak bisa main, menang cuma dikasih sekali, kalahnya berkali-kali, kita main bukannya nambah pengalaman makin jago, tapi gimna mau jago kalo dikasih temen yang gak bisa main plus lawan yang udah jago banget, kita dikasih mantan, bukannya bikin seneng malah tambah emosi itu yang bikin keluar kata kata kasar,",5
Game rusak. Sistem tidak konsisten. Dalam salah satu match saya tidak melakukan pelanggaran apapun dan saya serius dalam pertandingan tersebut. Tetapi sistem malah mendeteksi saya melakukan afk. Padahal saya tidak melakukanya sama sekali. Saya merasa sangat dirugikan. Sistemnya rusak. Mohon diperbaiki dan mengganti kredit skor saya yang hilang,5
"game yg cocok untuk pemula yg sedang mencari game yg seru, krna di game ini kita bisa mendapatkan tim dark sistem, buta map, lose streak dan darah tinggi cocok buat yg mau masuk rsj tpi bingung alasan masuk nya jdi bisa pake alasan gangguan krna game 😛🫰",5
"game bagus tapi tolong dikurangi dark sistem nya saya tiap main dikasi tim yang aneh trus dan lawannya yang jauh lebih tinggi skill nya, jika hanya sesekali tidak apa apa tapi ini saya lose streak trus monton:(",5
"Game yg gak pernah bosen sih , tapi masalahnya nguji kesabaran banget asal dapet tim main solo mau Rank/Classic , sekali kalah ya kalah terus atau menang kalah menang kalah , padahal gua main udah zaman old sempet pensi juga tapi gak buta game...selesai match kadang tim sendiri sama musuh suka gak imbang dalam hal Tier Rank nya , Main Solo tapi ketemu trio atau duo yg kalau rotasi gak karuan.. atau di mode Rank dalam draft pick cuma bisa beberapa hero atau bertabrakan role nya jadi gak imbang ..",4
gemenya emang keren aku suka tapi kenapa sih gemenya selalu ngelek maskipun ada tandanya yang bertuliskan masih bagus tapi masih ada masalah jadi aku kasih bintang empat mohon perbaiki gemenya agar lebih enak dimainin oh iya lagi satu gemenya keren bisa main mode apa saja bisa classic bisa juga rank jadi gampang deh tapi kenapa ya setiap aku main tiba tiba ada tandah hadia gratis di harian padahal pas aku periksa pas aku belum mulai tapi kenapa ya saat aku main langsung muncul dan yah itu aja👍☺,4
"Base pokok nya seru seru Hero nya juga bagus bagus tapi kekurangan nya dari harga Hero sama skin dan top up nya, karena harga nya mahal mahal Turunin lagi lah, kalo bisa juga saya sarankan collab sama Spiderman, Thor, dll",5
"Yth. Montoon. Untuk game nya sendiri bagus2 aja, hanya kendala internet dan ada bug yang saya sendiri kurang tau ini bug apa bukan. Bug nya di bagian pp, ketika saya login di hp saya yang merk Samsung. Di bagian pp error tak dapat terlihat pp user maupun non user. Sedangkan saya login di hp saya yang merk Infinix itu kelihatan pp non user & user. Jadi tolong di perbaiki game anda Moonton, sekian Terimakasih 🙂",4
astaganaga game nya sangat seru sekali dengan berbagai Hero dan skin yang sangat bagus namun dalam permainan maupun rank atau classic masih adasaja sejenis makhluk hidup yang tidak pantas hidup udah aneh dan ga sadar diri😁 jadi mohon untuk di benar kan untuk memberi tim yang setara dengan musuhnya baik hanya itu saja keluhan ku dari tahun kemarin sampai sekarang semoga update berikutnya bisa di benarkan 😁😁,5
"Hai moonton, aku suka banget sama game ini sejak dulu, aku sering main game ini, aku ingin minta permintaan dan sedikit masukan, tolong bisa ga untuk adain mobile legends versi old? tapi hanya mencakup : 1.hero hero 2.hanya bisa main classic / main classic tapi sama bot yang setara dengan player 3.tidak ada gold & diamond di mobile legends old nya 4.semua hero dan skin sudah terbuka 5.bisa memilih patch tolong untuk adakan mode / aplikasinya, krn sya yakin banyak orang yg kangen ml old & stuju🙏",5
"hilang 5 bintang hari ini, hampir semua pertandingan mengalami lag pdhl sinyal cukup bagus. dan malam ini gk ada menu umpan balik stlh pertandingan soal lag, bukan sy sendiri yg ngalami dalam tim, tp beberapa tmn di tim menyartakan hal sama. nice",5
"moonton yang terhormat, saya sebagai player yang suka solo rank memohon untuk menciptakan fitur yang dapat memperlihatkan player tersebut bemain solo atau tim berapa kali dalam satu season. hal ini di karenakan banyaknya orang lain yang menuduh player solo sebagai rank gendongan, dan itu juga terjadi pada saya...hal ini sekiranya dapat menurunkan tingkat fitnah yang tinggi di game anda. mungkin hanya ini yang dapat saya sampaikan, terimakasih.🙏🏻",5
"mungkin saya bisa bilang game ini sudah lebih baik sekarang. tapi saya mohon jangan lupa tambahkan hero support lagi, atau tambahin skin hero baru yang sudah dibuat kalo bisa ya? soalnya skin hero baru yang sebelumnya sudah ada itu kasian juga sih skinnya ga terlalu banyak. mungkin sambil tingkatkan pengurangan lag aja supaya bisa semakin lancar. tapi kalo untuk pengurangan lag, mungkin aja grafik game ada yang harus dikurangi, soalnya kalo ditingkatin lagi bisa jadi semakin ngelag.",5
kenapa akhir akhir ini banyak masalah seperti lag jaringan ya saya sudah cek jaringan saya dan sangat bagus HP saya juga ram nya 8 tapi kenapa pas bermain ping nya merah atau kuning mengganggu banget pas war tolong perbaiki masalah jaringan sangat mengganggu,4
"gem nya bagus dan grafik gem nya juga tetapi ada beberapa masalah di gem ini seperti gelek, patah patah saat dimainkan padahal sinyalnya bagus dan ada fitur baru yaitu pemilihan lane nya yaitu ada dua pilihannya padahal gw bisanya player EPX lane tetapi kok malah ke mit lane saya berharap fitur ini hanya dapat satu lane saja🙏",5
"Game nya bagus min, grafiknya keren dan gameplay seru. Banyak hero yang bisa dipakai dengan skill unik masing-masing, jadi nggak bosen main. Cuma kadang jaringan suka ngelag dan ada player yang toxic, semoga ke depannya makin diperbaiki biar lebih nyaman mainnya.",5
"game nya bagus seru gak bikin bosen pas main tapi ada satu hal yang membuat para player males main game ini karena timnya sendiri di trol lah atau gak bisa main lah walaupun sebagian ada yang senang kalau di kasih tim gak bener,tapi tolonglah berikan lawan yang sepadan masak aku main di mitik,ketemu imortal lah,glori lah,sedangkan timku legend,epic,mithick. tolong ya moonton kalo ngasih lawan yang seimbang",5
game nyaaaa bagus dan bisa atur strategi dan bisa teleportasi ke base dan kalo mati masih bisa hidup kembali pokoknya game ini aku sukaaaa bangettttt tapi masalah jaringan tolong di perbaiki dong soalnya jaringan nya selalu ilang ilang tolong di perbaiki dong moonton,5
"game nya sih bagus ya, tapi kalo udah mau naik rank nya itu loh 😭, contoh dari epic 2 ke epic 1 susah banget kayak, kan kita udah menang banyak kali tuh giliran tinggal 1 bintang lagi, eh malah kalah jadi tolong moonton kasih aku yg mudah dong musuh nya kalo udah mau naik rank nya ya 🙏🥺 sekian dari ulasan saya terimakasih 🙏",4
"see you mobile legends makasih 4 tahun ny akhir ny saya bisa merasakan metic, tapi setelah saya merasakan itu saya makin kecewa main berkali-kali selalu kalah jaringan selalu ping padahal koneksi bagus, dan makasih buat tim dark sistem ny, gk adil banget monton. saya mau pensiun main ml mungkin setelah saya tulis ulasan ini saya bakal ingat kalau saya pernah main mobile legends:)",5
aku mau nanya kenapa diamond ku hilang dan juga jaringannya sering macet merah mulu susah buat nyari jaringan nya terus lawannya gak sepadan pula masaa legend dapat lawan kayak mitic susah juga aku di gabungin sama player epik pulak pokoknya aku mohon sama monton buat perbaiki sistemnya dan juga aku mau nanya cara nambah akun ke dua gimana ya aku suka sama game nyaaa seru penghilang stres tapi aku nanya serius kenapa aku top up gak masuk kenaapaaa tolong lah monton perbaiki itu aja!!!!,5
"Game nya bagus Tapi,kalau bisa dikurangi ya untuk ngeleg nya soalnya ngeleg banget kalau di dalam pertandingannya!!.Dan kalau bisa juga Adain lagi event kuningnya.Dan skin"" yang ada di event itu ada skin Selena nya yang bisa kita dapatin.",4
"sudah bagus dari segi game tapi tolong tingkatkan fitur auto play emote nya diubah (disamakan dengan mcgg) supaya bisa diatur 4 emot dan ganti opsi nya dari (kill pertama, assist pertama,triple kill,wipe out)☞(setiap kill,setiap assist,setiap mati, setiap wipe out) semoga bisa dipahami terimakasih",5
game nya bagus banget tapi sayang kebanyakan update dan data nya semakin besar jadi kalo hp ram nya kecil cepet panas dan ngeleg jadi tolong kecil kan data atau kurang kan update tan nya dan stu lagi kenapa kalo udah bintang 5 pasti kalah karna drak sistem jadi tolong hilang kan drak sistem,5
